Aspect
	temporal_guo
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 91.80000, Average Perplexity (Good Sentences): -43.57530, Average Perplexity (Bad Sentences): -83.19111
0: good sentence 0, PPL: -26.70827
1: bad sentence 0, PPL: -34.51638
2: good sentence 1, PPL: -39.32418
3: bad sentence 1, PPL: -112.07603
4: good sentence 2, PPL: -147.21890
5: bad sentence 2, PPL: -246.68857
6: good sentence 3, PPL: -76.17291
7: bad sentence 3, PPL: -103.19530
8: good sentence 4, PPL: -40.65497
9: bad sentence 4, PPL: -53.72484
10: good sentence 5, PPL: -179.68040
11: bad sentence 5, PPL: -293.14961
12: good sentence 6, PPL: -23.07746
13: bad sentence 6, PPL: -88.27609
14: good sentence 7, PPL: -187.05234
15: bad sentence 7, PPL: -198.54272
16: good sentence 8, PPL: -12.81318
17: bad sentence 8, PPL: -30.98553
18: good sentence 9, PPL: -236.03321
19: bad sentence 9, PPL: -273.21663
20: good sentence 10, PPL: -42.83731
21: bad sentence 10, PPL: -159.65591
22: good sentence 11, PPL: -9.00357
23: bad sentence 11, PPL: -15.86244
24: good sentence 12, PPL: -16.47343
25: bad sentence 12, PPL: -57.46950
26: good sentence 13, PPL: -24.94122
27: bad sentence 13, PPL: -57.70836
28: good sentence 14, PPL: -49.90658
29: bad sentence 14, PPL: -170.75021
30: good sentence 15, PPL: -76.70684
31: bad sentence 15, PPL: -105.51566
32: good sentence 16, PPL: -13.56719
33: bad sentence 16, PPL: -20.45579
34: good sentence 17, PPL: -162.13347
35: bad sentence 17, PPL: -407.65021
36: good sentence 18, PPL: -38.34793
37: bad sentence 18, PPL: -41.09859
38: good sentence 19, PPL: -29.51682
39: bad sentence 19, PPL: -43.73402
40: good sentence 20, PPL: -5.03555
41: bad sentence 20, PPL: -20.50371
42: good sentence 21, PPL: -46.38828
43: bad sentence 21, PPL: -49.25720
44: good sentence 22, PPL: -65.41495
45: bad sentence 22, PPL: -240.60765
46: good sentence 23, PPL: -44.53382
47: bad sentence 23, PPL: -51.19742
48: good sentence 24, PPL: -33.73366
49: bad sentence 24, PPL: -42.85390
50: good sentence 25, PPL: -36.75713
51: bad sentence 25, PPL: -27.23996
52: good sentence 26, PPL: -107.48962
53: bad sentence 26, PPL: -234.16029
54: good sentence 27, PPL: -40.27208
55: bad sentence 27, PPL: -25.75058
56: good sentence 28, PPL: -72.48788
57: bad sentence 28, PPL: -154.93999
58: good sentence 29, PPL: -49.36847
59: bad sentence 29, PPL: -57.80566
60: good sentence 30, PPL: -46.09281
61: bad sentence 30, PPL: -143.78953
62: good sentence 31, PPL: -66.96567
63: bad sentence 31, PPL: -141.48482
64: good sentence 32, PPL: -25.46440
65: bad sentence 32, PPL: -43.11268
66: good sentence 33, PPL: -43.71594
67: bad sentence 33, PPL: -132.55278
68: good sentence 34, PPL: -12.06444
69: bad sentence 34, PPL: -71.18416
70: good sentence 35, PPL: -85.58584
71: bad sentence 35, PPL: -180.52090
72: good sentence 36, PPL: -125.99205
73: bad sentence 36, PPL: -268.95319
74: good sentence 37, PPL: -18.91597
75: bad sentence 37, PPL: -30.69113
76: good sentence 38, PPL: -24.18892
77: bad sentence 38, PPL: -25.04183
78: good sentence 39, PPL: -22.61125
79: bad sentence 39, PPL: -83.23027
80: good sentence 40, PPL: -33.99492
81: bad sentence 40, PPL: -51.07412
82: good sentence 41, PPL: -27.31422
83: bad sentence 41, PPL: -45.62201
84: good sentence 42, PPL: -211.73518
85: bad sentence 42, PPL: -453.87454
86: good sentence 43, PPL: -107.18373
87: bad sentence 43, PPL: -164.97910
88: good sentence 44, PPL: -100.86094
89: bad sentence 44, PPL: -296.08334
90: good sentence 45, PPL: -26.29819
91: bad sentence 45, PPL: -39.95423
92: good sentence 46, PPL: -21.17882
93: bad sentence 46, PPL: -24.09166
94: good sentence 47, PPL: -151.33348
95: bad sentence 47, PPL: -394.50250
96: good sentence 48, PPL: -96.74672
97: bad sentence 48, PPL: -142.67419
98: good sentence 49, PPL: -21.42344
99: bad sentence 49, PPL: -103.76152
100: good sentence 50, PPL: -38.87226
101: bad sentence 50, PPL: -60.08887
102: good sentence 51, PPL: -115.25090
103: bad sentence 51, PPL: -183.72374
104: good sentence 52, PPL: -230.24502
105: bad sentence 52, PPL: -444.80232
106: good sentence 53, PPL: -12.76364
107: bad sentence 53, PPL: -37.75354
108: good sentence 54, PPL: -14.87983
109: bad sentence 54, PPL: -49.37297
110: good sentence 55, PPL: -227.39336
111: bad sentence 55, PPL: -914.14394
112: good sentence 56, PPL: -61.54632
113: bad sentence 56, PPL: -125.72221
114: good sentence 57, PPL: -270.53741
115: bad sentence 57, PPL: -426.05515
116: good sentence 58, PPL: -47.42985
117: bad sentence 58, PPL: -58.45292
118: good sentence 59, PPL: -120.91687
119: bad sentence 59, PPL: -272.96372
120: good sentence 60, PPL: -22.52058
121: bad sentence 60, PPL: -37.05850
122: good sentence 61, PPL: -89.08533
123: bad sentence 61, PPL: -319.11467
124: good sentence 62, PPL: -75.29676
125: bad sentence 62, PPL: -262.54221
126: good sentence 63, PPL: -67.51381
127: bad sentence 63, PPL: -93.98292
128: good sentence 64, PPL: -39.96635
129: bad sentence 64, PPL: -91.04547
130: good sentence 65, PPL: -307.88562
131: bad sentence 65, PPL: -415.12957
132: good sentence 66, PPL: -113.60458
133: bad sentence 66, PPL: -140.23985
134: good sentence 67, PPL: -11.17610
135: bad sentence 67, PPL: -17.62395
136: good sentence 68, PPL: -135.11463
137: bad sentence 68, PPL: -541.84488
138: good sentence 69, PPL: -27.25110
139: bad sentence 69, PPL: -59.85462
140: good sentence 70, PPL: -56.86614
141: bad sentence 70, PPL: -81.62728
142: good sentence 71, PPL: -5.73415
143: bad sentence 71, PPL: -33.86840
144: good sentence 72, PPL: -27.96877
145: bad sentence 72, PPL: -81.57515
146: good sentence 73, PPL: -32.46523
147: bad sentence 73, PPL: -146.56155
148: good sentence 74, PPL: -25.11576
149: bad sentence 74, PPL: -117.45486
150: good sentence 75, PPL: -21.35490
151: bad sentence 75, PPL: -55.55575
152: good sentence 76, PPL: -82.79850
153: bad sentence 76, PPL: -55.13487
154: good sentence 77, PPL: -35.23035
155: bad sentence 77, PPL: -41.28502
156: good sentence 78, PPL: -41.05984
157: bad sentence 78, PPL: -107.82608
158: good sentence 79, PPL: -152.71842
159: bad sentence 79, PPL: -113.89481
160: good sentence 80, PPL: -14.90968
161: bad sentence 80, PPL: -25.85001
162: good sentence 81, PPL: -28.57346
163: bad sentence 81, PPL: -43.17529
164: good sentence 82, PPL: -129.55884
165: bad sentence 82, PPL: -390.73257
166: good sentence 83, PPL: -52.06627
167: bad sentence 83, PPL: -121.61206
168: good sentence 84, PPL: -191.73068
169: bad sentence 84, PPL: -252.58513
170: good sentence 85, PPL: -22.86004
171: bad sentence 85, PPL: -26.37111
172: good sentence 86, PPL: -13.00715
173: bad sentence 86, PPL: -47.97118
174: good sentence 87, PPL: -135.77848
175: bad sentence 87, PPL: -488.93368
176: good sentence 88, PPL: -121.96094
177: bad sentence 88, PPL: -112.86602
178: good sentence 89, PPL: -21.08806
179: bad sentence 89, PPL: -50.25277
180: good sentence 90, PPL: -111.52888
181: bad sentence 90, PPL: -319.04984
182: good sentence 91, PPL: -48.51003
183: bad sentence 91, PPL: -56.17096
184: good sentence 92, PPL: -16.33683
185: bad sentence 92, PPL: -14.62070
186: good sentence 93, PPL: -36.86353
187: bad sentence 93, PPL: -62.11240
188: good sentence 94, PPL: -70.44931
189: bad sentence 94, PPL: -78.60096
190: good sentence 95, PPL: -339.17941
191: bad sentence 95, PPL: -628.89984
192: good sentence 96, PPL: -18.42196
193: bad sentence 96, PPL: -51.75108
194: good sentence 97, PPL: -20.13801
195: bad sentence 97, PPL: -19.10072
196: good sentence 98, PPL: -102.51810
197: bad sentence 98, PPL: -108.97152
198: good sentence 99, PPL: -11.63508
199: bad sentence 99, PPL: -59.35659
200: good sentence 100, PPL: -148.47500
201: bad sentence 100, PPL: -174.99331
202: good sentence 101, PPL: -57.85714
203: bad sentence 101, PPL: -92.01230
204: good sentence 102, PPL: -45.89027
205: bad sentence 102, PPL: -130.57199
206: good sentence 103, PPL: -19.78067
207: bad sentence 103, PPL: -34.72120
208: good sentence 104, PPL: -3.80979
209: bad sentence 104, PPL: -10.62042
210: good sentence 105, PPL: -18.77095
211: bad sentence 105, PPL: -39.21750
212: good sentence 106, PPL: -118.04424
213: bad sentence 106, PPL: -139.67755
214: good sentence 107, PPL: -28.11768
215: bad sentence 107, PPL: -36.34440
216: good sentence 108, PPL: -9.84982
217: bad sentence 108, PPL: -22.39413
218: good sentence 109, PPL: -79.13234
219: bad sentence 109, PPL: -362.14604
220: good sentence 110, PPL: -218.65367
221: bad sentence 110, PPL: -790.88433
222: good sentence 111, PPL: -27.68243
223: bad sentence 111, PPL: -87.57889
224: good sentence 112, PPL: -156.75838
225: bad sentence 112, PPL: -240.75570
226: good sentence 113, PPL: -23.53689
227: bad sentence 113, PPL: -81.07906
228: good sentence 114, PPL: -61.79017
229: bad sentence 114, PPL: -109.94749
230: good sentence 115, PPL: -77.46231
231: bad sentence 115, PPL: -49.23007
232: good sentence 116, PPL: -124.44515
233: bad sentence 116, PPL: -146.49673
234: good sentence 117, PPL: -14.79933
235: bad sentence 117, PPL: -22.43385
236: good sentence 118, PPL: -103.04700
237: bad sentence 118, PPL: -142.47000
238: good sentence 119, PPL: -66.88213
239: bad sentence 119, PPL: -154.46505
240: good sentence 120, PPL: -15.42972
241: bad sentence 120, PPL: -24.49631
242: good sentence 121, PPL: -44.14450
243: bad sentence 121, PPL: -86.14052
244: good sentence 122, PPL: -12.73193
245: bad sentence 122, PPL: -33.83070
246: good sentence 123, PPL: -25.30239
247: bad sentence 123, PPL: -32.02479
248: good sentence 124, PPL: -123.67008
249: bad sentence 124, PPL: -232.23908
250: good sentence 125, PPL: -66.84357
251: bad sentence 125, PPL: -109.55200
252: good sentence 126, PPL: -103.29743
253: bad sentence 126, PPL: -166.25398
254: good sentence 127, PPL: -16.91542
255: bad sentence 127, PPL: -42.40615
256: good sentence 128, PPL: -36.30751
257: bad sentence 128, PPL: -25.39673
258: good sentence 129, PPL: -27.06144
259: bad sentence 129, PPL: -43.01157
