PolarityItem
	more_or_less
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 98.30000, Average Perplexity (Good Sentences): -6.05067, Average Perplexity (Bad Sentences): -15.26819
0: good sentence 0, PPL: -1.86373
1: bad sentence 0, PPL: -7.09575
2: good sentence 1, PPL: -1.60577
3: bad sentence 1, PPL: -2.81026
4: good sentence 2, PPL: -9.60670
5: bad sentence 2, PPL: -50.78247
6: good sentence 3, PPL: -2.93168
7: bad sentence 3, PPL: -13.66020
8: good sentence 4, PPL: -4.07878
9: bad sentence 4, PPL: -8.15946
10: good sentence 5, PPL: -5.97169
11: bad sentence 5, PPL: -20.57539
12: good sentence 6, PPL: -2.67980
13: bad sentence 6, PPL: -11.76181
14: good sentence 7, PPL: -1.91604
15: bad sentence 7, PPL: -6.88161
16: good sentence 8, PPL: -3.08295
17: bad sentence 8, PPL: -6.41681
18: good sentence 9, PPL: -5.66372
19: bad sentence 9, PPL: -11.76219
20: good sentence 10, PPL: -5.15019
21: bad sentence 10, PPL: -14.89206
22: good sentence 11, PPL: -5.52161
23: bad sentence 11, PPL: -30.34176
24: good sentence 12, PPL: -6.43778
25: bad sentence 12, PPL: -14.99380
26: good sentence 13, PPL: -4.26552
27: bad sentence 13, PPL: -8.89443
28: good sentence 14, PPL: -2.26094
29: bad sentence 14, PPL: -5.71065
30: good sentence 15, PPL: -39.05825
31: bad sentence 15, PPL: -9.66476
32: good sentence 16, PPL: -10.49912
33: bad sentence 16, PPL: -48.03207
34: good sentence 17, PPL: -10.49392
35: bad sentence 17, PPL: -25.31329
36: good sentence 18, PPL: -3.06743
37: bad sentence 18, PPL: -3.87863
38: good sentence 19, PPL: -1.53582
39: bad sentence 19, PPL: -5.51021
40: good sentence 20, PPL: -27.46659
41: bad sentence 20, PPL: -79.01843
42: good sentence 21, PPL: -7.00744
43: bad sentence 21, PPL: -31.35438
44: good sentence 22, PPL: -8.35347
45: bad sentence 22, PPL: -16.54626
46: good sentence 23, PPL: -12.16159
47: bad sentence 23, PPL: -14.40996
48: good sentence 24, PPL: -7.02784
49: bad sentence 24, PPL: -21.12255
50: good sentence 25, PPL: -7.08507
51: bad sentence 25, PPL: -18.49915
52: good sentence 26, PPL: -4.86613
53: bad sentence 26, PPL: -15.02572
54: good sentence 27, PPL: -7.91332
55: bad sentence 27, PPL: -12.86480
56: good sentence 28, PPL: -5.19355
57: bad sentence 28, PPL: -11.20893
58: good sentence 29, PPL: -3.48759
59: bad sentence 29, PPL: -11.85327
60: good sentence 30, PPL: -7.25064
61: bad sentence 30, PPL: -58.41546
62: good sentence 31, PPL: -2.51833
63: bad sentence 31, PPL: -9.12496
64: good sentence 32, PPL: -11.80862
65: bad sentence 32, PPL: -25.16236
66: good sentence 33, PPL: -5.01904
67: bad sentence 33, PPL: -7.48828
68: good sentence 34, PPL: -7.33640
69: bad sentence 34, PPL: -33.47803
70: good sentence 35, PPL: -2.90559
71: bad sentence 35, PPL: -6.29408
72: good sentence 36, PPL: -9.03498
73: bad sentence 36, PPL: -33.68537
74: good sentence 37, PPL: -33.72021
75: bad sentence 37, PPL: -96.59321
