PolarityItem
	any
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 85.20000, Average Perplexity (Good Sentences): -20.99936, Average Perplexity (Bad Sentences): -48.62079
0: good sentence 0, PPL: -5.06160
1: bad sentence 0, PPL: -26.71022
2: good sentence 1, PPL: -4.78611
3: bad sentence 1, PPL: -48.81894
4: good sentence 2, PPL: -5.03097
5: bad sentence 2, PPL: -16.49200
6: good sentence 3, PPL: -212.83049
7: bad sentence 3, PPL: -988.63262
8: good sentence 4, PPL: -11.78659
9: bad sentence 4, PPL: -29.09240
10: good sentence 5, PPL: -14.04002
11: bad sentence 5, PPL: -59.22713
12: good sentence 6, PPL: -55.03389
13: bad sentence 6, PPL: -194.78381
14: good sentence 7, PPL: -50.34399
15: bad sentence 7, PPL: -57.52202
16: good sentence 8, PPL: -9.51336
17: bad sentence 8, PPL: -9.70473
18: good sentence 9, PPL: -16.58993
19: bad sentence 9, PPL: -23.67571
20: good sentence 10, PPL: -11.01171
21: bad sentence 10, PPL: -17.24459
22: good sentence 11, PPL: -66.07944
23: bad sentence 11, PPL: -97.98792
24: good sentence 12, PPL: -9.45774
25: bad sentence 12, PPL: -8.20990
26: good sentence 13, PPL: -14.85433
27: bad sentence 13, PPL: -29.20788
28: good sentence 14, PPL: -9.03339
29: bad sentence 14, PPL: -9.31709
30: good sentence 15, PPL: -26.78039
31: bad sentence 15, PPL: -51.27993
32: good sentence 16, PPL: -119.70588
33: bad sentence 16, PPL: -70.28952
34: good sentence 17, PPL: -55.13814
35: bad sentence 17, PPL: -127.95085
36: good sentence 18, PPL: -66.13620
37: bad sentence 18, PPL: -179.19472
38: good sentence 19, PPL: -16.15597
39: bad sentence 19, PPL: -105.58423
40: good sentence 20, PPL: -8.36651
41: bad sentence 20, PPL: -5.23590
42: good sentence 21, PPL: -29.99550
43: bad sentence 21, PPL: -27.49941
44: good sentence 22, PPL: -55.17939
45: bad sentence 22, PPL: -164.12110
46: good sentence 23, PPL: -24.38944
47: bad sentence 23, PPL: -38.94126
48: good sentence 24, PPL: -4.51345
49: bad sentence 24, PPL: -10.46532
50: good sentence 25, PPL: -3.75107
51: bad sentence 25, PPL: -58.89790
52: good sentence 26, PPL: -35.10620
53: bad sentence 26, PPL: -38.92333
54: good sentence 27, PPL: -7.70383
55: bad sentence 27, PPL: -24.70277
56: good sentence 28, PPL: -83.44183
57: bad sentence 28, PPL: -215.11203
58: good sentence 29, PPL: -11.15724
59: bad sentence 29, PPL: -17.57141
60: good sentence 30, PPL: -28.69362
61: bad sentence 30, PPL: -25.09495
62: good sentence 31, PPL: -77.61271
63: bad sentence 31, PPL: -103.72727
64: good sentence 32, PPL: -95.52724
65: bad sentence 32, PPL: -366.78140
66: good sentence 33, PPL: -15.34940
67: bad sentence 33, PPL: -19.13631
68: good sentence 34, PPL: -15.18388
69: bad sentence 34, PPL: -15.13276
