Plural
	cl_self_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.50000, Average Perplexity (Good Sentences): -17.03508, Average Perplexity (Bad Sentences): -40.22229
0: good sentence 0, PPL: -72.06764
1: bad sentence 0, PPL: -446.21710
2: good sentence 1, PPL: -12.68910
3: bad sentence 1, PPL: -29.78129
4: good sentence 2, PPL: -15.74778
5: bad sentence 2, PPL: -41.92401
6: good sentence 3, PPL: -19.16591
7: bad sentence 3, PPL: -31.01878
8: good sentence 4, PPL: -9.86408
9: bad sentence 4, PPL: -20.87791
10: good sentence 5, PPL: -15.49901
11: bad sentence 5, PPL: -40.68994
12: good sentence 6, PPL: -22.74382
13: bad sentence 6, PPL: -60.50332
14: good sentence 7, PPL: -6.30340
15: bad sentence 7, PPL: -23.50476
16: good sentence 8, PPL: -300.43002
17: bad sentence 8, PPL: -758.71592
18: good sentence 9, PPL: -23.99198
19: bad sentence 9, PPL: -49.68627
20: good sentence 10, PPL: -26.43819
21: bad sentence 10, PPL: -58.47221
22: good sentence 11, PPL: -15.16585
23: bad sentence 11, PPL: -32.61106
24: good sentence 12, PPL: -13.94885
25: bad sentence 12, PPL: -49.07715
26: good sentence 13, PPL: -13.42893
27: bad sentence 13, PPL: -31.34311
28: good sentence 14, PPL: -29.24177
29: bad sentence 14, PPL: -109.25909
30: good sentence 15, PPL: -9.90742
31: bad sentence 15, PPL: -27.94634
32: good sentence 16, PPL: -14.22783
33: bad sentence 16, PPL: -42.99046
34: good sentence 17, PPL: -13.46097
35: bad sentence 17, PPL: -38.78606
36: good sentence 18, PPL: -113.46376
37: bad sentence 18, PPL: -276.66015
38: good sentence 19, PPL: -43.91467
39: bad sentence 19, PPL: -75.09260
40: good sentence 20, PPL: -186.00856
41: bad sentence 20, PPL: -611.52252
42: good sentence 21, PPL: -19.00764
43: bad sentence 21, PPL: -44.88822
44: good sentence 22, PPL: -6.49085
45: bad sentence 22, PPL: -12.54268
46: good sentence 23, PPL: -7.88307
47: bad sentence 23, PPL: -30.05871
48: good sentence 24, PPL: -13.22915
49: bad sentence 24, PPL: -44.29155
50: good sentence 25, PPL: -12.84471
51: bad sentence 25, PPL: -18.79707
52: good sentence 26, PPL: -24.72761
53: bad sentence 26, PPL: -79.59070
54: good sentence 27, PPL: -10.23262
55: bad sentence 27, PPL: -22.89308
56: good sentence 28, PPL: -39.48705
57: bad sentence 28, PPL: -181.92653
58: good sentence 29, PPL: -11.48005
59: bad sentence 29, PPL: -25.98970
60: good sentence 30, PPL: -19.10313
61: bad sentence 30, PPL: -41.86181
62: good sentence 31, PPL: -60.46842
63: bad sentence 31, PPL: -285.14741
64: good sentence 32, PPL: -5.97310
65: bad sentence 32, PPL: -18.16716
66: good sentence 33, PPL: -5.19677
67: bad sentence 33, PPL: -10.19434
68: good sentence 34, PPL: -29.85785
69: bad sentence 34, PPL: -89.72869
70: good sentence 35, PPL: -28.71163
71: bad sentence 35, PPL: -44.28162
