binding_gender_1000.csv
Model: imone/pangu_2_6B, Accuracy: 0.61200, Average Perplexity (Good Sentences): -13172.23633, Average Perplexity (Bad Sentences): -13429.49902
0: good sentence 0, PPL: -81212.84375
1: bad sentence 0, PPL: -82505.28906
2: good sentence 1, PPL: -13740.06738
3: bad sentence 1, PPL: -13394.98926
4: good sentence 2, PPL: -17076.30664
5: bad sentence 2, PPL: -16512.92773
6: good sentence 3, PPL: -5267.05762
7: bad sentence 3, PPL: -5143.80566
8: good sentence 4, PPL: -4579.01562
9: bad sentence 4, PPL: -5048.91650
10: good sentence 5, PPL: -14621.16309
11: bad sentence 5, PPL: -14758.90234
12: good sentence 6, PPL: -37186.55859
13: bad sentence 6, PPL: -37277.91797
14: good sentence 7, PPL: -9578.44629
15: bad sentence 7, PPL: -9926.86523
16: good sentence 8, PPL: -11795.85547
17: bad sentence 8, PPL: -11903.48340
18: good sentence 9, PPL: -10806.03320
19: bad sentence 9, PPL: -11356.10840
20: good sentence 10, PPL: -14293.22754
21: bad sentence 10, PPL: -14625.90430
22: good sentence 11, PPL: -3774.30811
23: bad sentence 11, PPL: -3562.23218
24: good sentence 12, PPL: -15745.01270
25: bad sentence 12, PPL: -14947.05273
26: good sentence 13, PPL: -21310.33789
27: bad sentence 13, PPL: -21856.34570
28: good sentence 14, PPL: -21722.12891
29: bad sentence 14, PPL: -23726.76367
30: good sentence 15, PPL: -17183.04492
31: bad sentence 15, PPL: -16639.85156
32: good sentence 16, PPL: -31767.24219
33: bad sentence 16, PPL: -30395.47656
34: good sentence 17, PPL: -13413.74219
35: bad sentence 17, PPL: -13621.66504
36: good sentence 18, PPL: -3220.88867
37: bad sentence 18, PPL: -3377.56201
38: good sentence 19, PPL: -28570.36328
39: bad sentence 19, PPL: -28081.07617
40: good sentence 20, PPL: -24795.26953
41: bad sentence 20, PPL: -22586.51367
42: good sentence 21, PPL: -11587.20215
43: bad sentence 21, PPL: -12185.74219
44: good sentence 22, PPL: -20777.94922
45: bad sentence 22, PPL: -20921.76953
46: good sentence 23, PPL: -17644.47852
47: bad sentence 23, PPL: -17501.75977
48: good sentence 24, PPL: -18850.58789
49: bad sentence 24, PPL: -18874.27734
50: good sentence 25, PPL: -17129.25000
51: bad sentence 25, PPL: -17738.10156
52: good sentence 26, PPL: -11567.04199
53: bad sentence 26, PPL: -11480.70410
54: good sentence 27, PPL: -10525.36426
55: bad sentence 27, PPL: -10674.27441
56: good sentence 28, PPL: -28883.57812
57: bad sentence 28, PPL: -26562.07227
58: good sentence 29, PPL: -13192.38867
59: bad sentence 29, PPL: -13494.07520
60: good sentence 30, PPL: -18009.51367
61: bad sentence 30, PPL: -18517.23242
62: good sentence 31, PPL: -14252.89551
63: bad sentence 31, PPL: -13003.82324
64: good sentence 32, PPL: -17861.16797
65: bad sentence 32, PPL: -18344.55664
66: good sentence 33, PPL: -19227.34961
67: bad sentence 33, PPL: -19618.99609
68: good sentence 34, PPL: -26552.19531
69: bad sentence 34, PPL: -25923.63867
70: good sentence 35, PPL: -19651.52148
71: bad sentence 35, PPL: -20164.06445
72: good sentence 36, PPL: -9585.27148
73: bad sentence 36, PPL: -10263.25391
74: good sentence 37, PPL: -12820.33594
75: bad sentence 37, PPL: -12845.31348
76: good sentence 38, PPL: -10265.69141
77: bad sentence 38, PPL: -10708.89062
78: good sentence 39, PPL: -15786.64746
79: bad sentence 39, PPL: -14372.31543
80: good sentence 40, PPL: -33170.97266
81: bad sentence 40, PPL: -31261.58594
82: good sentence 41, PPL: -35039.80859
83: bad sentence 41, PPL: -33549.53516
84: good sentence 42, PPL: -8719.00391
85: bad sentence 42, PPL: -8753.70508
86: good sentence 43, PPL: -13503.89746
87: bad sentence 43, PPL: -13833.17969
88: good sentence 44, PPL: -12538.21875
89: bad sentence 44, PPL: -12806.06250
90: good sentence 45, PPL: -23051.61719
91: bad sentence 45, PPL: -21798.37305
92: good sentence 46, PPL: -22254.48047
93: bad sentence 46, PPL: -20968.96875
94: good sentence 47, PPL: -10114.27930
95: bad sentence 47, PPL: -10488.95020
96: good sentence 48, PPL: -39565.52344
97: bad sentence 48, PPL: -39580.20312
98: good sentence 49, PPL: -30355.90820
99: bad sentence 49, PPL: -31323.24023
100: good sentence 50, PPL: -15706.79980
101: bad sentence 50, PPL: -15171.55078
102: good sentence 51, PPL: -19403.46875
103: bad sentence 51, PPL: -19034.45117
104: good sentence 52, PPL: -15058.29297
105: bad sentence 52, PPL: -15093.18750
106: good sentence 53, PPL: -17976.99609
107: bad sentence 53, PPL: -17557.51367
108: good sentence 54, PPL: -8874.84180
109: bad sentence 54, PPL: -9227.33691
110: good sentence 55, PPL: -15428.45215
111: bad sentence 55, PPL: -13808.84766
112: good sentence 56, PPL: -39363.79297
113: bad sentence 56, PPL: -37286.94922
114: good sentence 57, PPL: -10685.54883
115: bad sentence 57, PPL: -10193.84961
116: good sentence 58, PPL: -5890.02246
117: bad sentence 58, PPL: -5673.54785
118: good sentence 59, PPL: -49230.32422
119: bad sentence 59, PPL: -46668.55469
120: good sentence 60, PPL: -12763.25586
121: bad sentence 60, PPL: -13072.49609
122: good sentence 61, PPL: -3101.30249
123: bad sentence 61, PPL: -3101.99756
124: good sentence 62, PPL: -10247.55664
125: bad sentence 62, PPL: -9873.97266
126: good sentence 63, PPL: -24756.25977
127: bad sentence 63, PPL: -24985.66602
128: good sentence 64, PPL: -22790.87891
129: bad sentence 64, PPL: -23187.27930
130: good sentence 65, PPL: -12268.28809
131: bad sentence 65, PPL: -11945.83301
132: good sentence 66, PPL: -8697.32031
133: bad sentence 66, PPL: -8522.45605
134: good sentence 67, PPL: -19368.69141
135: bad sentence 67, PPL: -18274.06445
136: good sentence 68, PPL: -59897.04688
137: bad sentence 68, PPL: -59664.83594
138: good sentence 69, PPL: -18504.98047
139: bad sentence 69, PPL: -17372.30273
140: good sentence 70, PPL: -8858.12402
141: bad sentence 70, PPL: -8731.64453
142: good sentence 71, PPL: -26121.60352
143: bad sentence 71, PPL: -26295.86523
144: good sentence 72, PPL: -10178.82129
145: bad sentence 72, PPL: -9807.93945
146: good sentence 73, PPL: -25610.64844
147: bad sentence 73, PPL: -25434.54883
148: good sentence 74, PPL: -13886.54004
149: bad sentence 74, PPL: -12523.87793
150: good sentence 75, PPL: -29052.06836
151: bad sentence 75, PPL: -28324.13867
152: good sentence 76, PPL: -13987.98047
153: bad sentence 76, PPL: -13512.91504
154: good sentence 77, PPL: -28854.86328
155: bad sentence 77, PPL: -26483.91406
156: good sentence 78, PPL: -9509.20996
157: bad sentence 78, PPL: -10074.42480
158: good sentence 79, PPL: -13068.07031
159: bad sentence 79, PPL: -13231.67578
160: good sentence 80, PPL: -11976.09570
161: bad sentence 80, PPL: -13142.16016
162: good sentence 81, PPL: -12902.12207
163: bad sentence 81, PPL: -12322.53125
164: good sentence 82, PPL: -32055.80664
165: bad sentence 82, PPL: -32029.74023
166: good sentence 83, PPL: -17531.84570
167: bad sentence 83, PPL: -17422.70703
168: good sentence 84, PPL: -7465.59424
169: bad sentence 84, PPL: -7721.05273
170: good sentence 85, PPL: -8184.02344
171: bad sentence 85, PPL: -8580.24414
172: good sentence 86, PPL: -26190.19922
173: bad sentence 86, PPL: -27801.23633
174: good sentence 87, PPL: -18709.00977
175: bad sentence 87, PPL: -18173.62891
176: good sentence 88, PPL: -9480.33398
177: bad sentence 88, PPL: -9047.27637
178: good sentence 89, PPL: -10261.54199
179: bad sentence 89, PPL: -11101.87109
