ba_construction_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.57800, Average Perplexity (Good Sentences): -53680.81641, Average Perplexity (Bad Sentences): -55042.61719
0: good sentence 0, PPL: -9159.10059
1: bad sentence 0, PPL: -7807.99902
2: good sentence 1, PPL: -104743.11719
3: bad sentence 1, PPL: -121569.28125
4: good sentence 2, PPL: -86015.82031
5: bad sentence 2, PPL: -114256.82812
6: good sentence 3, PPL: -31749.37109
7: bad sentence 3, PPL: -33579.26953
8: good sentence 4, PPL: -140696.53125
9: bad sentence 4, PPL: -127919.59375
10: good sentence 5, PPL: -68444.44531
11: bad sentence 5, PPL: -60592.23047
12: good sentence 6, PPL: -55917.03906
13: bad sentence 6, PPL: -61706.62891
14: good sentence 7, PPL: -239217.17188
15: bad sentence 7, PPL: -196746.70312
16: good sentence 8, PPL: -91161.25781
17: bad sentence 8, PPL: -91663.83594
18: good sentence 9, PPL: -16391.34570
19: bad sentence 9, PPL: -22130.71289
20: good sentence 10, PPL: -19307.29883
21: bad sentence 10, PPL: -24227.12500
22: good sentence 11, PPL: -35468.40625
23: bad sentence 11, PPL: -38887.27734
24: good sentence 12, PPL: -99149.39844
25: bad sentence 12, PPL: -117168.09375
26: good sentence 13, PPL: -173416.70312
27: bad sentence 13, PPL: -181588.78125
28: good sentence 14, PPL: -72416.97656
29: bad sentence 14, PPL: -73477.37500
30: good sentence 15, PPL: -52460.46094
31: bad sentence 15, PPL: -45154.14453
32: good sentence 16, PPL: -81314.21094
33: bad sentence 16, PPL: -87045.10938
34: good sentence 17, PPL: -16054.74414
35: bad sentence 17, PPL: -17455.03906
36: good sentence 18, PPL: -85559.39062
37: bad sentence 18, PPL: -90092.50000
38: good sentence 19, PPL: -8715.17188
39: bad sentence 19, PPL: -10865.79395
40: good sentence 20, PPL: -159955.92188
41: bad sentence 20, PPL: -156619.50000
42: good sentence 21, PPL: -223519.31250
43: bad sentence 21, PPL: -172693.03125
44: good sentence 22, PPL: -174686.03125
45: bad sentence 22, PPL: -197015.96875
46: good sentence 23, PPL: -78694.44531
47: bad sentence 23, PPL: -72893.75781
48: good sentence 24, PPL: -20631.18164
49: bad sentence 24, PPL: -21488.86719
50: good sentence 25, PPL: -70892.00000
51: bad sentence 25, PPL: -69867.17969
52: good sentence 26, PPL: -20640.43164
53: bad sentence 26, PPL: -24826.88281
54: good sentence 27, PPL: -93739.74219
55: bad sentence 27, PPL: -100820.61719
56: good sentence 28, PPL: -65479.53125
57: bad sentence 28, PPL: -81614.63281
58: good sentence 29, PPL: -198514.79688
59: bad sentence 29, PPL: -237133.15625
60: good sentence 30, PPL: -24560.74805
61: bad sentence 30, PPL: -29053.84180
62: good sentence 31, PPL: -163356.90625
63: bad sentence 31, PPL: -164554.29688
64: good sentence 32, PPL: -66866.25781
65: bad sentence 32, PPL: -68882.51562
66: good sentence 33, PPL: -24750.73828
67: bad sentence 33, PPL: -25964.06641
68: good sentence 34, PPL: -104871.65625
69: bad sentence 34, PPL: -99517.05469
70: good sentence 35, PPL: -10907.15723
71: bad sentence 35, PPL: -10636.01660
72: good sentence 36, PPL: -214959.90625
73: bad sentence 36, PPL: -226405.50000
74: good sentence 37, PPL: -39509.03906
75: bad sentence 37, PPL: -44956.31641
76: good sentence 38, PPL: -80066.91406
77: bad sentence 38, PPL: -87624.29688
78: good sentence 39, PPL: -9191.76562
79: bad sentence 39, PPL: -9328.62109
80: good sentence 40, PPL: -27161.59961
81: bad sentence 40, PPL: -29254.27734
82: good sentence 41, PPL: -12974.24121
83: bad sentence 41, PPL: -13261.41211
84: good sentence 42, PPL: -19589.66016
85: bad sentence 42, PPL: -21725.29883
