head_final_clause_1000.csv
Model: TsinghuaAI/CPM-Generate, Accuracy: 0.86500, Average Perplexity (Good Sentences): -41043.70312, Average Perplexity (Bad Sentences): -48791.24609
0: good sentence 0, PPL: -21735.26758
1: bad sentence 0, PPL: -33458.82422
2: good sentence 1, PPL: -33442.45703
3: bad sentence 1, PPL: -43427.96094
4: good sentence 2, PPL: -52017.77344
5: bad sentence 2, PPL: -59183.58594
6: good sentence 3, PPL: -55978.82812
7: bad sentence 3, PPL: -59331.82031
8: good sentence 4, PPL: -36844.42578
9: bad sentence 4, PPL: -47040.46094
10: good sentence 5, PPL: -87186.67969
11: bad sentence 5, PPL: -108489.53906
12: good sentence 6, PPL: -10685.87500
13: bad sentence 6, PPL: -11880.54102
14: good sentence 7, PPL: -28091.41797
15: bad sentence 7, PPL: -37243.37891
16: good sentence 8, PPL: -7342.47363
17: bad sentence 8, PPL: -9534.62793
18: good sentence 9, PPL: -38051.13281
19: bad sentence 9, PPL: -45937.79688
20: good sentence 10, PPL: -17634.92383
21: bad sentence 10, PPL: -21887.00781
22: good sentence 11, PPL: -71904.28906
23: bad sentence 11, PPL: -125349.25781
24: good sentence 12, PPL: -6696.89062
25: bad sentence 12, PPL: -19730.73047
26: good sentence 13, PPL: -81505.19531
27: bad sentence 13, PPL: -95220.01562
28: good sentence 14, PPL: -173473.45312
29: bad sentence 14, PPL: -268866.75000
30: good sentence 15, PPL: -46717.49609
31: bad sentence 15, PPL: -44252.41406
32: good sentence 16, PPL: -18245.45508
33: bad sentence 16, PPL: -19884.03906
34: good sentence 17, PPL: -25140.02539
35: bad sentence 17, PPL: -25973.00586
36: good sentence 18, PPL: -84087.15625
37: bad sentence 18, PPL: -94031.18750
38: good sentence 19, PPL: -12290.64355
39: bad sentence 19, PPL: -14766.81543
40: good sentence 20, PPL: -74039.89844
41: bad sentence 20, PPL: -75914.78125
42: good sentence 21, PPL: -75216.33594
43: bad sentence 21, PPL: -96279.34375
44: good sentence 22, PPL: -13676.10059
45: bad sentence 22, PPL: -23796.58203
46: good sentence 23, PPL: -13492.77441
47: bad sentence 23, PPL: -11352.33984
48: good sentence 24, PPL: -10564.14160
49: bad sentence 24, PPL: -17560.07422
50: good sentence 25, PPL: -50394.46875
51: bad sentence 25, PPL: -59972.55078
52: good sentence 26, PPL: -39049.93750
53: bad sentence 26, PPL: -55121.67578
54: good sentence 27, PPL: -7487.12695
55: bad sentence 27, PPL: -8484.26074
56: good sentence 28, PPL: -30843.50000
57: bad sentence 28, PPL: -39075.30859
58: good sentence 29, PPL: -103070.65625
59: bad sentence 29, PPL: -112056.83594
60: good sentence 30, PPL: -45569.13672
61: bad sentence 30, PPL: -47527.28125
62: good sentence 31, PPL: -29562.69727
63: bad sentence 31, PPL: -34117.66406
64: good sentence 32, PPL: -44190.46484
65: bad sentence 32, PPL: -57941.58984
66: good sentence 33, PPL: -32133.61328
67: bad sentence 33, PPL: -37195.32031
68: good sentence 34, PPL: -31942.31641
69: bad sentence 34, PPL: -33695.78125
70: good sentence 35, PPL: -79316.03906
71: bad sentence 35, PPL: -96043.28906
72: good sentence 36, PPL: -48194.72266
73: bad sentence 36, PPL: -60636.04297
74: good sentence 37, PPL: -23521.02734
75: bad sentence 37, PPL: -19359.45898
76: good sentence 38, PPL: -60613.49609
77: bad sentence 38, PPL: -75283.21875
78: good sentence 39, PPL: -34666.90625
79: bad sentence 39, PPL: -32112.99414
80: good sentence 40, PPL: -37186.12891
81: bad sentence 40, PPL: -47768.70703
82: good sentence 41, PPL: -124134.64844
83: bad sentence 41, PPL: -125319.74219
84: good sentence 42, PPL: -60878.47656
85: bad sentence 42, PPL: -93035.26562
86: good sentence 43, PPL: -51399.29297
87: bad sentence 43, PPL: -41293.55859
88: good sentence 44, PPL: -73042.32031
89: bad sentence 44, PPL: -88684.75000
90: good sentence 45, PPL: -18048.35547
91: bad sentence 45, PPL: -20292.66016
92: good sentence 46, PPL: -44844.04297
93: bad sentence 46, PPL: -40896.32031
94: good sentence 47, PPL: -105149.85938
95: bad sentence 47, PPL: -61892.04297
96: good sentence 48, PPL: -112128.13281
97: bad sentence 48, PPL: -133065.18750
98: good sentence 49, PPL: -54328.71875
99: bad sentence 49, PPL: -64297.72656
100: good sentence 50, PPL: -42704.01953
101: bad sentence 50, PPL: -49096.69531
102: good sentence 51, PPL: -30383.56836
103: bad sentence 51, PPL: -30606.62891
104: good sentence 52, PPL: -54800.01172
105: bad sentence 52, PPL: -62357.00781
106: good sentence 53, PPL: -45778.82422
107: bad sentence 53, PPL: -77177.58594
108: good sentence 54, PPL: -162476.73438
109: bad sentence 54, PPL: -297212.40625
110: good sentence 55, PPL: -25584.35742
111: bad sentence 55, PPL: -29563.71094
112: good sentence 56, PPL: -76843.11719
113: bad sentence 56, PPL: -91626.07812
114: good sentence 57, PPL: -21563.92188
115: bad sentence 57, PPL: -19080.92383
116: good sentence 58, PPL: -15337.45117
117: bad sentence 58, PPL: -71431.04688
118: good sentence 59, PPL: -12817.54785
119: bad sentence 59, PPL: -20793.66797
120: good sentence 60, PPL: -25921.53711
121: bad sentence 60, PPL: -24134.28516
122: good sentence 61, PPL: -38183.30859
123: bad sentence 61, PPL: -34112.88281
124: good sentence 62, PPL: -14489.84766
125: bad sentence 62, PPL: -16382.95410
126: good sentence 63, PPL: -37730.61719
127: bad sentence 63, PPL: -48740.60156
128: good sentence 64, PPL: -20509.80859
129: bad sentence 64, PPL: -19070.31836
130: good sentence 65, PPL: -110935.47656
131: bad sentence 65, PPL: -148959.73438
132: good sentence 66, PPL: -13170.10059
133: bad sentence 66, PPL: -15772.84668
134: good sentence 67, PPL: -90186.20312
135: bad sentence 67, PPL: -108418.89062
136: good sentence 68, PPL: -45112.26562
137: bad sentence 68, PPL: -66396.53906
138: good sentence 69, PPL: -16897.75000
139: bad sentence 69, PPL: -17862.95703
140: good sentence 70, PPL: -17371.57422
141: bad sentence 70, PPL: -28090.45312
142: good sentence 71, PPL: -16742.09375
143: bad sentence 71, PPL: -58674.93359
144: good sentence 72, PPL: -38018.19922
145: bad sentence 72, PPL: -44341.67969
146: good sentence 73, PPL: -21668.70703
147: bad sentence 73, PPL: -23870.24609
148: good sentence 74, PPL: -41718.92188
149: bad sentence 74, PPL: -57541.64453
150: good sentence 75, PPL: -35555.44141
151: bad sentence 75, PPL: -57085.30859
152: good sentence 76, PPL: -31877.74023
153: bad sentence 76, PPL: -40315.26953
154: good sentence 77, PPL: -15635.51172
155: bad sentence 77, PPL: -20721.72852
156: good sentence 78, PPL: -62466.52344
157: bad sentence 78, PPL: -69159.96875
