0.34	0.19
0.34	0.35
0.29	0.37
0.48	0.43
0.35	0.42
0.3	0.15
0.45	0.25
0.35	0.33
0.26	0.26
0.48	0.3
0.29	0.33
0.23	0.23
0.27	0.2
0.31	0.29
0.51	0.51
0.18	0.29
0.26	0.28
0.29	0.29
0.26	0.22
0.43	0.21
0.49	0.38
0.36	0.3
0.34	0.3
0.34	0.25
0.18	0.18
0.47	0.43
0.26	0.31
0.45	0.27
0.28	0.28
0.4	0.38
0.44	0.46
0.38	0.35
0.38	0.3
0.33	0.22
0.26	0.25
0.35	0.32
0.39	0.3
0.43	0.35
0.22	0.37
0.31	0.28
0.39	0.27
0.45	0.2
0.39	0.38
0.14	0.19
0.38	0.18
0.4	0.36
0.44	0.33
0.43	0.43
0.35	0.38
0.32	0.19
0.25	0.36
0.38	0.28
0.3	0.25
0.36	0.16
0.19	0.22
0.17	0.17
0.17	0.22
0.22	0.27
0.28	0.27
0.35	0.32
0.52	0.26
0.36	0.36
0.43	0.25
0.43	0.31
0.37	0.26
0.24	0.22
0.33	0.38
0.46	0.44
0.2	0.27
0.35	0.25
0.23	0.27
0.36	0.32
0.29	0.31
0.38	0.33
0.34	0.31
0.22	0.22
0.35	0.23
0.39	0.39
0.26	0.26
0.29	0.27
0.18	0.21
0.36	0.35
0.41	0.21
0.36	0.31
0.33	0.44
0.35	0.29
0.34	0.31
0.31	0.32
0.38	0.33
0.39	0.24
0.44	0.35
0.49	0.44
0.42	0.37
0.16	0.15
0.25	0.25
0.42	0.35
0.46	0.3
0.43	0.25
0.25	0.28
0.38	0.31
