0.22	0.38
0.18	0.29
0.53	0.31
0.19	0.4
0.19	0.17
0.29	0.37
0.3	0.42
0.23	0.51
0.16	0.22
0.29	0.37
0.33	0.47
0.21	0.19
0.18	0.2
0.27	0.23
0.43	0.49
0.38	0.26
0.27	0.18
0.14	0.24
0.21	0.31
0.26	0.17
0.21	0.21
0.19	0.08
0.31	0.46
0.27	0.18
0.23	0.23
0.33	0.1
0.33	0.11
0.38	0.24
0.3	0.31
0.32	0.28
0.16	0.31
0.36	0.46
0.37	0.35
0.24	0.31
0.2	0.25
0.23	0.23
0.36	0.45
0.34	0.51
0.18	0.21
0.29	0.33
0.21	0.23
0.17	0.32
0.17	0.2
0.33	0.35
0.3	0.37
0.25	0.25
0.17	0.28
0.2	0.21
0.18	0.23
0.18	0.16
