0.16	0.13
0.18	0.17
0.17	0.19
0.2	0.17
0.2	0.15
0.19	0.18
0.14	0.17
0.16	0.18
0.14	0.17
0.19	0.2
0.18	0.18
0.12	0.14
0.22	0.15
0.16	0.17
0.15	0.19
0.19	0.2
0.15	0.18
0.16	0.17
0.15	0.18
0.14	0.16
0.15	0.16
0.1	0.13
0.24	0.21
0.18	0.18
0.14	0.16
0.26	0.2
0.18	0.17
0.26	0.21
0.14	0.16
0.19	0.14
0.14	0.17
0.2	0.2
0.16	0.19
0.22	0.15
0.15	0.18
0.13	0.15
0.2	0.17
0.15	0.19
0.16	0.17
0.11	0.15
0.14	0.16
0.2	0.17
0.17	0.19
0.23	0.18
0.14	0.17
0.14	0.16
0.15	0.18
0.16	0.18
0.16	0.19
0.13	0.14
0.17	0.16
0.16	0.2
0.24	0.19
0.13	0.12
0.19	0.17
0.14	0.18
0.13	0.19
0.23	0.19
0.18	0.2
0.19	0.17
0.12	0.14
0.14	0.17
0.13	0.14
0.19	0.16
0.15	0.18
0.19	0.17
0.28	0.2
0.18	0.16
0.19	0.19
0.17	0.21
0.21	0.2
0.23	0.14
0.27	0.14
0.15	0.19
0.14	0.16
0.2	0.13
0.16	0.15
0.15	0.17
0.15	0.15
0.18	0.19
0.16	0.16
0.19	0.18
0.2	0.19
0.17	0.19
0.2	0.21
0.21	0.19
0.13	0.17
0.17	0.16
0.15	0.16
0.21	0.19
0.19	0.22
0.14	0.17
0.17	0.17
0.16	0.16
0.16	0.16
0.21	0.18
0.17	0.17
0.17	0.17
0.18	0.19
0.14	0.17
