verb_complement_res_verb_1000.csv
Model: baichuan-inc/Baichuan-7B, Accuracy: 0.65700, Average Perplexity (Good Sentences): -1878.21179, Average Perplexity (Bad Sentences): -2346.28540
0: good sentence 0, PPL: -1165.42505
1: bad sentence 0, PPL: -2382.22607
2: good sentence 1, PPL: -11195.43457
3: bad sentence 1, PPL: -5254.33008
4: good sentence 2, PPL: -975.25781
5: bad sentence 2, PPL: -3703.33325
6: good sentence 3, PPL: -3019.68872
7: bad sentence 3, PPL: -794.92816
8: good sentence 4, PPL: -942.43671
9: bad sentence 4, PPL: -3282.84619
10: good sentence 5, PPL: -2255.67554
11: bad sentence 5, PPL: -2545.03784
12: good sentence 6, PPL: -6802.10498
13: bad sentence 6, PPL: -5174.90674
14: good sentence 7, PPL: -2923.16724
15: bad sentence 7, PPL: -4079.33496
16: good sentence 8, PPL: -1388.08716
17: bad sentence 8, PPL: -1598.11670
18: good sentence 9, PPL: -986.65369
19: bad sentence 9, PPL: -1294.19067
20: good sentence 10, PPL: -90459.60938
21: bad sentence 10, PPL: -15194.20996
22: good sentence 11, PPL: -2980.06836
23: bad sentence 11, PPL: -3792.35596
24: good sentence 12, PPL: -3464.22363
25: bad sentence 12, PPL: -8018.63086
26: good sentence 13, PPL: -814.96527
27: bad sentence 13, PPL: -1491.30798
28: good sentence 14, PPL: -1586.50000
29: bad sentence 14, PPL: -1199.90344
30: good sentence 15, PPL: -588.65765
31: bad sentence 15, PPL: -1808.80811
32: good sentence 16, PPL: -13053.49805
33: bad sentence 16, PPL: -11100.29297
34: good sentence 17, PPL: -2260.54126
35: bad sentence 17, PPL: -1732.44702
36: good sentence 18, PPL: -8486.24316
37: bad sentence 18, PPL: -41232.01562
38: good sentence 19, PPL: -3068.87427
39: bad sentence 19, PPL: -2205.48950
40: good sentence 20, PPL: -665.19208
41: bad sentence 20, PPL: -697.65637
42: good sentence 21, PPL: -29462.24609
43: bad sentence 21, PPL: -56100.73047
44: good sentence 22, PPL: -358.67981
45: bad sentence 22, PPL: -570.46710
46: good sentence 23, PPL: -5093.61328
47: bad sentence 23, PPL: -12299.15625
48: good sentence 24, PPL: -1133.23987
49: bad sentence 24, PPL: -1308.43066
50: good sentence 25, PPL: -5686.09326
51: bad sentence 25, PPL: -2663.91406
52: good sentence 26, PPL: -823.75482
53: bad sentence 26, PPL: -1372.49280
54: good sentence 27, PPL: -511.14453
55: bad sentence 27, PPL: -636.47156
56: good sentence 28, PPL: -415.97589
57: bad sentence 28, PPL: -830.86310
58: good sentence 29, PPL: -1605.26086
