Anaphor
	pp_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 38.80000, Average Perplexity (Good Sentences): -12.48289, Average Perplexity (Bad Sentences): -12.16720
0: good sentence 0, PPL: -16.42392
1: bad sentence 0, PPL: -16.89570
2: good sentence 1, PPL: -15.98293
3: bad sentence 1, PPL: -15.30081
4: good sentence 2, PPL: -47.31794
5: bad sentence 2, PPL: -46.93880
6: good sentence 3, PPL: -22.80262
7: bad sentence 3, PPL: -20.63810
8: good sentence 4, PPL: -55.71370
9: bad sentence 4, PPL: -45.25529
10: good sentence 5, PPL: -5.58394
11: bad sentence 5, PPL: -5.61511
12: good sentence 6, PPL: -24.62647
13: bad sentence 6, PPL: -26.84617
14: good sentence 7, PPL: -9.40173
15: bad sentence 7, PPL: -9.65142
16: good sentence 8, PPL: -10.50795
17: bad sentence 8, PPL: -9.53459
18: good sentence 9, PPL: -18.43957
19: bad sentence 9, PPL: -17.14820
20: good sentence 10, PPL: -4.88392
21: bad sentence 10, PPL: -5.12275
22: good sentence 11, PPL: -32.34583
23: bad sentence 11, PPL: -28.82817
24: good sentence 12, PPL: -19.46707
25: bad sentence 12, PPL: -22.72971
26: good sentence 13, PPL: -28.43427
27: bad sentence 13, PPL: -26.95003
28: good sentence 14, PPL: -27.74008
29: bad sentence 14, PPL: -27.18975
30: good sentence 15, PPL: -8.72280
31: bad sentence 15, PPL: -7.29786
32: good sentence 16, PPL: -16.21429
33: bad sentence 16, PPL: -14.34092
34: good sentence 17, PPL: -12.34156
35: bad sentence 17, PPL: -11.14662
36: good sentence 18, PPL: -3.98115
37: bad sentence 18, PPL: -4.58457
38: good sentence 19, PPL: -14.37265
39: bad sentence 19, PPL: -12.28078
40: good sentence 20, PPL: -5.95849
41: bad sentence 20, PPL: -5.54988
42: good sentence 21, PPL: -20.52771
43: bad sentence 21, PPL: -18.94164
44: good sentence 22, PPL: -4.41631
45: bad sentence 22, PPL: -4.35815
46: good sentence 23, PPL: -24.27200
47: bad sentence 23, PPL: -25.70891
48: good sentence 24, PPL: -13.31263
49: bad sentence 24, PPL: -12.60317
50: good sentence 25, PPL: -28.56485
51: bad sentence 25, PPL: -26.96432
52: good sentence 26, PPL: -5.89408
53: bad sentence 26, PPL: -6.59804
54: good sentence 27, PPL: -8.15107
55: bad sentence 27, PPL: -6.65540
56: good sentence 28, PPL: -10.66778
57: bad sentence 28, PPL: -10.64895
58: good sentence 29, PPL: -10.69817
59: bad sentence 29, PPL: -8.72025
60: good sentence 30, PPL: -27.04224
