AlternativeQuestion
	haishi_ma
Model: TsinghuaAI/CPM-Generate, Accuracy: 85.80000, Average Perplexity (Good Sentences): -28178.29688, Average Perplexity (Bad Sentences): -31109.28320
0: good sentence 0, PPL: -21522.99414
1: bad sentence 0, PPL: -27626.16602
2: good sentence 1, PPL: -32023.57227
3: bad sentence 1, PPL: -37978.48438
4: good sentence 2, PPL: -31734.93164
5: bad sentence 2, PPL: -37014.77734
6: good sentence 3, PPL: -28090.37109
7: bad sentence 3, PPL: -32012.79297
8: good sentence 4, PPL: -13306.95703
9: bad sentence 4, PPL: -17794.99609
10: good sentence 5, PPL: -26342.95117
11: bad sentence 5, PPL: -27705.79297
12: good sentence 6, PPL: -28821.52930
13: bad sentence 6, PPL: -32915.81641
14: good sentence 7, PPL: -81543.21875
15: bad sentence 7, PPL: -82602.12500
16: good sentence 8, PPL: -20747.94922
17: bad sentence 8, PPL: -25151.15234
18: good sentence 9, PPL: -7367.31787
19: bad sentence 9, PPL: -8560.15430
20: good sentence 10, PPL: -63034.98047
21: bad sentence 10, PPL: -66299.09375
22: good sentence 11, PPL: -95469.06250
23: bad sentence 11, PPL: -90142.94531
24: good sentence 12, PPL: -40417.78125
25: bad sentence 12, PPL: -46663.57031
26: good sentence 13, PPL: -38632.96094
27: bad sentence 13, PPL: -46973.66406
28: good sentence 14, PPL: -28600.34766
29: bad sentence 14, PPL: -33142.57812
30: good sentence 15, PPL: -31493.88477
31: bad sentence 15, PPL: -37606.39062
32: good sentence 16, PPL: -40568.19531
33: bad sentence 16, PPL: -48527.20312
34: good sentence 17, PPL: -6122.46973
35: bad sentence 17, PPL: -7359.02490
36: good sentence 18, PPL: -35151.76562
37: bad sentence 18, PPL: -36814.71094
38: good sentence 19, PPL: -17155.71875
39: bad sentence 19, PPL: -19736.96094
40: good sentence 20, PPL: -21481.71484
41: bad sentence 20, PPL: -22511.18555
42: good sentence 21, PPL: -52422.05078
43: bad sentence 21, PPL: -56774.32031
44: good sentence 22, PPL: -40059.55859
45: bad sentence 22, PPL: -43787.35938
46: good sentence 23, PPL: -13437.75000
47: bad sentence 23, PPL: -14727.36621
48: good sentence 24, PPL: -49628.74219
49: bad sentence 24, PPL: -51783.25781
50: good sentence 25, PPL: -20365.73047
51: bad sentence 25, PPL: -22669.16406
52: good sentence 26, PPL: -21127.80859
53: bad sentence 26, PPL: -25191.93750
54: good sentence 27, PPL: -20887.12109
55: bad sentence 27, PPL: -25854.62891
56: good sentence 28, PPL: -34485.87500
57: bad sentence 28, PPL: -37385.50781
58: good sentence 29, PPL: -15039.37891
59: bad sentence 29, PPL: -17781.05273
60: good sentence 30, PPL: -19255.58984
61: bad sentence 30, PPL: -23067.33984
62: good sentence 31, PPL: -29964.96484
63: bad sentence 31, PPL: -32894.44531
64: good sentence 32, PPL: -39636.63672
65: bad sentence 32, PPL: -37410.86719
66: good sentence 33, PPL: -20740.90625
67: bad sentence 33, PPL: -22447.57812
68: good sentence 34, PPL: -19038.77148
69: bad sentence 34, PPL: -20493.28711
70: good sentence 35, PPL: -14657.57324
71: bad sentence 35, PPL: -18912.65820
72: good sentence 36, PPL: -64533.19141
73: bad sentence 36, PPL: -72054.75781
74: good sentence 37, PPL: -10643.95117
75: bad sentence 37, PPL: -12547.14258
76: good sentence 38, PPL: -26545.61133
77: bad sentence 38, PPL: -29397.66602
78: good sentence 39, PPL: -45391.39062
79: bad sentence 39, PPL: -50544.01172
80: good sentence 40, PPL: -75671.26562
81: bad sentence 40, PPL: -75105.23438
82: good sentence 41, PPL: -34855.76562
83: bad sentence 41, PPL: -36801.37109
84: good sentence 42, PPL: -48830.16016
85: bad sentence 42, PPL: -49385.83203
86: good sentence 43, PPL: -39907.07422
87: bad sentence 43, PPL: -44356.44141
88: good sentence 44, PPL: -18640.35352
89: bad sentence 44, PPL: -20917.56055
90: good sentence 45, PPL: -58823.67969
91: bad sentence 45, PPL: -60093.29297
92: good sentence 46, PPL: -25863.95117
93: bad sentence 46, PPL: -30877.55273
94: good sentence 47, PPL: -26829.49219
95: bad sentence 47, PPL: -30392.02930
96: good sentence 48, PPL: -57777.54297
97: bad sentence 48, PPL: -56710.24609
98: good sentence 49, PPL: -31051.30859
99: bad sentence 49, PPL: -34631.32031
100: good sentence 50, PPL: -24165.65234
101: bad sentence 50, PPL: -24164.29492
102: good sentence 51, PPL: -13747.04004
103: bad sentence 51, PPL: -16183.27148
104: good sentence 52, PPL: -82567.31250
